 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit,Track_ID,Particle_ID,Track_Length,Reverse_numbering
10977,66.11,205.55,791,4230.95,8.70,13154.96,7.85,0,0,112.09,6.20,130.30,1.51,121.08,7.62,109.20,6.88,0,2190.66,5.95,0.48,3,2458,20,87,68
10978,65.93,205.97,792,4219.74,11.23,13181.94,9.87,0,0,88.36,4.75,125.00,1.60,161.79,10.07,142.36,8.82,0,2112.95,3.44,0.43,4,2458,21,87,67
10979,66.29,205.90,795,4242.40,8.24,13177.87,8.46,0,0,105.03,5.23,128.32,1.46,127.83,7.28,131.13,7.46,0,1817.27,3.84,0.51,3,2458,22,87,66
10980,65.60,206.03,796,4198.16,8.95,13186.05,10.78,0,0,79.23,4.51,129.81,1.30,121.30,7.91,146.03,9.53,0,1944.32,3.44,0.43,3,2458,23,87,65
10981,65.63,205.35,797,4200.07,6.97,13142.15,7.72,0,0,129.80,7.25,134.97,1.52,95.81,6.07,106.13,6.72,0,2227.89,5.44,0.49,4,2458,24,87,64
10982,66.13,205.34,798,4232.39,9.50,13142.00,9.72,0,0,94.69,5.74,135.17,1.50,120.82,8.36,123.50,8.54,0,2652.73,3.82,0.42,3,2458,25,87,63
10983,65.85,205.81,800,4214.23,11.82,13171.65,9.91,0,0,88.05,6.68,132.66,1.54,119.84,10.33,100.55,8.67,0,2058.84,3.38,0.33,4,2458,26,87,62
10984,65.43,205.50,802,4187.36,6.44,13152.11,6.11,0,0,133.75,5.91,133.09,1.36,111.97,5.63,106.32,5.34,0,2558.88,7.17,0.59,3,2458,27,87,61
10985,65.80,205.22,803,4211.42,7.13,13133.77,9.49,0,0,97.61,5.27,132.04,1.31,101.65,6.25,135.37,8.32,0,2521.48,4.05,0.48,3,2458,28,87,60
10986,65.53,205.30,804,4193.60,8.65,13138.96,10.07,0,0,97.42,5.01,132.00,1.54,130.08,7.68,151.31,8.94,0,4281.73,7.16,0.47,3,2458,29,87,59
10987,66.27,205.44,805,4241.56,8.20,13148.06,9.32,0,0,117.25,7.67,133.33,1.65,96.33,7.15,109.42,8.12,0,2429.75,5.76,0.41,4,2458,30,87,58
10988,65.95,205.73,806,4220.85,7.67,13166.51,8.08,0,0,122.57,7.04,135.08,1.55,102.58,6.69,108.10,7.05,0,3409.05,6.35,0.47,3,2458,31,87,57
10989,66.18,205.95,807,4235.26,8.58,13180.54,10.27,0,0,106.04,6.20,131.31,1.65,113.13,7.56,135.35,9.04,0,2496.36,5.56,0.44,3,2458,32,87,56
