 ,X_(px),Y_(px),Frame_Number,X_(nm),X_loc_error(nm),Y_(nm),Y_loc_error(nm),Z_(nm),Z_loc_error(nm),Amplitude_fit,Amp_error,BGfit,BGfit_error,SD_X_(nm),SD_X_error(nm),SD_Y_(nm),SD_Y_error(nm),False_positive,IntegratedInt,SNR,R2_fit,Iterations_fit,Track_ID,Particle_ID,Track_Length,Reverse_numbering
1,54.54,17.00,1,3490.47,9.77,1088.13,8.92,0,0,93.26,5.21,128.95,1.45,134.97,8.62,123.25,7.87,0,3205.98,5.32,0.45,2,1,1,15,15
2,54.58,17.11,2,3493.19,6.84,1094.97,6.27,0,0,139.38,6.77,135.38,1.47,108.19,5.97,99.19,5.47,0,3171.16,5.57,0.55,3,1,2,15,14
3,54.91,17.06,3,3514.17,7.36,1091.99,8.76,0,0,101.79,5.50,129.79,1.33,104.69,6.45,124.62,7.67,0,2023.32,4.37,0.49,3,1,3,15,13
4,55.02,17.65,4,3521.48,6.83,1129.85,9.38,0,0,107.60,5.75,128.13,1.41,98.45,5.99,135.15,8.22,0,1870.14,4.50,0.49,4,1,4,15,12
5,54.62,17.64,5,3495.80,6.76,1129.02,7.05,0,0,136.48,6.88,131.31,1.52,102.95,5.90,107.41,6.15,0,2927.43,6.30,0.53,3,1,5,15,11
6,54.26,17.44,6,3472.63,10.91,1116.46,10.08,0,0,91.44,5.91,129.31,1.59,130.17,9.61,120.25,8.88,0,1144.50,3.53,0.39,3,1,6,15,10
7,54.76,17.31,7,3504.58,6.95,1107.69,7.65,0,0,127.84,6.41,130.84,1.51,106.56,6.08,117.22,6.69,0,2735.52,5.89,0.53,3,1,7,15,9
8,54.62,17.00,9,3495.52,7.58,1088.30,7.04,0,0,127.45,6.28,131.14,1.52,118.40,6.64,109.95,6.17,0,4169.48,5.40,0.53,3,1,8,15,8
9,54.63,17.16,10,3496.22,6.99,1098.37,7.75,0,0,121.32,6.13,131.43,1.45,106.36,6.12,117.89,6.78,0,3290.41,7.63,0.52,3,1,9,15,7
10,54.38,17.62,11,3480.31,6.87,1127.52,6.84,0,0,124.77,6.28,129.54,1.38,104.77,5.99,104.45,5.97,0,2114.20,6.32,0.53,3,1,10,15,6
11,54.60,17.61,14,3494.59,8.52,1126.79,8.77,0,0,111.29,6.64,133.64,1.56,109.95,7.46,113.12,7.68,0,2885.86,5.74,0.44,3,1,11,15,5
12,54.79,17.26,16,3506.50,6.64,1104.34,6.71,0,0,144.33,6.92,131.61,1.56,106.50,5.80,107.55,5.86,0,3554.43,7.31,0.56,4,1,12,15,4
13,54.93,17.17,17,3515.24,5.51,1099.01,5.45,0,0,149.97,6.78,127.75,1.30,93.58,4.79,92.47,4.74,0,2396.66,7.87,0.60,4,1,13,15,3
14,54.87,17.38,18,3511.87,8.24,1112.15,7.69,0,0,115.62,6.14,130.74,1.50,119.34,7.22,111.44,6.74,0,2708.73,5.59,0.49,3,1,14,15,2
15,54.82,17.43,19,3508.32,6.97,1115.60,8.64,0,0,118.34,6.67,132.48,1.48,94.92,6.08,117.78,7.54,0,2331.80,5.17,0.48,4,1,15,15,1
16,103.15,233.78,1,6601.29,14.23,14961.62,12.69,0,0,70.44,5.72,132.27,1.57,135.10,12.54,120.46,11.19,0,2889.38,3.22,0.28,3,2,1,2,2
17,104.02,229.48,3,6657.37,10.18,14686.94,9.27,0,0,91.63,5.09,131.45,1.50,141.75,9.02,129.03,8.20,0,2066.82,3.88,0.44,3,2,2,2,1
18,186.16,503.65,1,11914.26,18.11,32233.56,20.91,0,0,42.74,4.93,129.87,1.39,121.04,15.98,139.75,18.45,0,0.00,0.00,0.16,3,3,1,2,2
19,181.60,501.88,2,11622.21,12.23,32120.57,13.42,0,0,70.86,6.65,132.48,1.46,100.12,10.67,109.85,11.71,0,865.41,3.15,0.25,3,3,2,2,1
20,199.56,411.50,1,12771.62,12.35,26336.31,11.00,0,0,72.12,4.41,127.54,1.44,156.58,11.02,139.56,9.80,0,2488.21,3.89,0.38,3,4,1,3,3
21,197.16,407.30,2,12618.34,9.36,26067.07,7.76,0,0,117.86,7.07,132.84,1.63,120.05,8.18,99.51,6.78,0,3752.59,6.34,0.44,3,4,2,3,2
22,201.58,406.46,3,12901.19,8.04,26013.23,8.66,0,0,114.09,7.00,133.65,1.53,100.66,7.02,108.33,7.55,0,3031.93,5.15,0.44,3,4,3,3,1
23,239.73,458.68,1,15342.78,5.52,29355.57,5.51,0,0,167.16,6.71,126.61,1.49,105.58,4.82,105.44,4.81,0,2352.46,9.79,0.64,3,5,1,4,4
24,240.28,458.70,3,15377.95,4.40,29356.75,4.64,0,0,198.48,7.20,129.63,1.43,93.04,3.83,98.12,4.04,0,2986.48,8.50,0.70,4,5,2,4,3
25,239.94,458.63,4,15356.14,4.27,29352.34,3.96,0,0,193.99,6.39,130.37,1.27,99.53,3.71,92.40,3.45,0,2991.16,9.83,0.74,4,5,3,4,2
26,239.90,458.84,6,15353.72,5.77,29365.57,6.84,0,0,157.43,6.91,127.21,1.60,101.15,5.05,119.96,5.98,0,3319.55,8.21,0.60,3,5,4,4,1
27,252.05,16.05,1,16131.04,8.17,1027.02,5.33,0,0,171.59,6.81,133.84,1.87,158.48,7.23,103.58,4.70,0,4557.68,8.45,0.62,3,6,1,12,12
28,252.09,15.92,3,16133.97,10.03,1018.58,6.44,0,0,156.22,7.43,138.24,2.08,162.30,8.91,104.47,5.68,0,5181.39,7.06,0.53,4,6,2,12,11
29,252.40,15.94,5,16153.57,9.16,1019.88,5.48,0,0,149.36,6.36,136.44,1.75,165.68,8.12,99.30,4.83,0,4262.66,6.24,0.59,3,6,3,12,10
30,251.97,15.81,6,16125.91,8.21,1012.01,5.10,0,0,178.64,7.23,134.40,1.90,156.14,7.25,97.18,4.49,0,3702.39,8.26,0.62,5,6,4,12,9
31,252.38,15.79,8,16152.38,8.23,1010.31,5.72,0,0,176.07,7.51,139.90,1.99,148.44,7.27,103.38,5.04,0,5165.39,7.95,0.59,3,6,5,12,8
32,252.36,15.97,9,16150.80,7.17,1022.05,4.87,0,0,196.85,7.28,133.34,1.91,149.05,6.33,101.40,4.28,0,4632.20,8.88,0.66,4,6,6,12,7
33,252.11,15.86,11,16135.20,7.46,1014.88,4.98,0,0,191.10,7.43,135.24,1.91,147.55,6.56,98.69,4.38,0,5071.71,9.44,0.64,4,6,7,12,6
34,252.51,16.14,12,16160.68,8.04,1032.85,5.32,0,0,197.43,8.69,138.14,2.10,140.36,7.06,93.06,4.66,0,4524.09,7.83,0.59,5,6,8,12,5
35,252.72,15.84,13,16174.02,8.04,1014.02,5.35,0,0,180.48,7.46,138.36,1.94,149.37,7.13,99.77,4.70,0,4730.59,6.54,0.61,4,6,9,12,4
36,252.17,15.98,15,16138.75,6.52,1022.70,4.84,0,0,214.39,8.12,140.34,1.96,132.48,5.71,98.36,4.24,0,4993.30,8.78,0.66,5,6,10,12,3
37,252.74,15.81,16,16175.29,6.83,1011.83,5.06,0,0,206.54,8.47,133.93,1.97,128.00,5.97,94.90,4.43,0,4344.23,9.41,0.63,5,6,11,12,2
38,252.44,16.15,17,16155.99,7.06,1033.44,5.36,0,0,185.54,7.20,136.73,1.88,140.13,6.20,106.39,4.71,0,4896.23,7.53,0.64,3,6,12,12,1
39,358.39,152.25,1,22937.01,16.38,9744.15,16.40,0,0,55.72,5.55,132.53,1.52,126.84,14.44,127.02,14.46,0,2010.25,3.33,0.21,3,7,1,1,1
40,498.70,180.06,1,31916.90,10.84,11523.78,13.27,0,0,70.71,4.88,131.77,1.42,121.43,9.59,148.51,11.75,0,2316.07,2.98,0.34,3,8,1,5,5
41,492.98,184.69,3,31550.94,13.95,11820.47,14.42,0,0,61.58,5.27,133.12,1.45,125.66,12.30,129.82,12.71,0,1534.89,3.21,0.26,3,8,2,5,4
42,501.14,193.53,4,32073.07,7.79,12385.69,8.21,0,0,112.42,6.10,130.92,1.46,110.44,6.82,116.51,7.19,0,2952.46,5.33,0.49,3,8,3,5,3
43,501.82,189.46,6,32116.25,14.95,12125.66,9.61,0,0,86.31,7.01,142.97,1.68,141.58,13.11,91.10,8.42,0,2299.59,3.93,0.30,4,8,4,5,2
44,495.24,200.46,8,31695.51,17.78,12829.30,19.34,0,0,47.74,5.08,132.84,1.48,129.14,15.73,140.33,17.16,0,1116.21,2.40,0.18,4,8,5,5,1
45,97.91,107.39,2,6266.36,7.90,6872.76,9.69,0,0,104.60,5.97,130.20,1.50,106.56,6.93,130.80,8.50,0,3325.86,5.42,0.46,3,9,1,3,3
46,94.36,103.19,5,6039.00,10.72,6604.40,8.23,0,0,93.02,4.87,127.77,1.47,158.11,9.52,121.52,7.30,0,2535.18,4.70,0.47,3,9,2,3,2
47,94.86,99.39,6,6070.77,16.71,6360.84,19.73,0,0,53.17,5.15,134.29,1.64,133.81,14.87,157.48,17.68,0,2355.05,2.62,0.20,5,9,3,3,1
48,98.92,386.65,2,6331.10,4.98,24745.38,4.49,0,0,179.50,6.33,126.47,1.36,108.42,4.34,97.72,3.92,0,3529.68,10.18,0.70,3,10,1,14,14
49,98.71,386.81,3,6317.62,5.12,24756.05,4.57,0,0,180.50,6.85,127.47,1.39,103.65,4.46,92.46,3.98,0,2752.39,9.23,0.68,3,10,2,14,13
50,99.31,386.83,4,6356.01,7.42,24757.12,6.27,0,0,138.22,6.63,129.60,1.53,118.90,6.48,100.59,5.49,0,2618.39,7.36,0.55,3,10,3,14,12
51,98.89,386.85,5,6329.16,4.60,24758.15,5.07,0,0,194.93,7.09,132.37,1.51,97.11,4.01,107.19,4.42,0,3354.61,8.36,0.69,3,10,4,14,11
52,98.72,386.80,6,6317.90,6.44,24755.49,6.63,0,0,142.98,6.32,127.93,1.52,112.11,5.64,115.43,5.81,0,3408.39,7.15,0.59,3,10,5,14,10
53,98.84,386.70,9,6325.91,5.23,24748.93,5.48,0,0,185.20,7.61,128.30,1.59,97.70,4.56,102.38,4.77,0,2697.41,10.55,0.64,4,10,6,14,9
54,98.42,386.66,11,6298.83,5.16,24746.35,5.53,0,0,163.33,6.67,128.94,1.40,97.08,4.50,104.01,4.82,0,2968.25,7.95,0.64,3,10,7,14,8
55,98.77,386.62,13,6321.35,5.38,24743.74,5.30,0,0,159.70,6.37,130.26,1.37,103.57,4.69,102.03,4.62,0,2877.04,7.45,0.65,3,10,8,14,7
56,98.77,386.45,16,6321.11,5.99,24732.64,5.92,0,0,154.75,6.79,132.31,1.48,104.78,5.22,103.72,5.17,0,2876.29,7.08,0.60,3,10,9,14,6
57,99.17,386.46,17,6346.87,7.34,24733.70,8.16,0,0,131.03,6.88,130.39,1.65,107.48,6.43,119.51,7.14,0,3962.79,7.77,0.50,3,10,10,14,5
58,99.04,386.33,19,6338.48,4.52,24724.85,4.60,0,0,175.55,6.15,131.38,1.28,99.00,3.93,100.72,4.00,0,3333.45,8.53,0.71,3,10,11,14,4
59,98.45,386.75,21,6300.92,5.95,24751.88,6.26,0,0,146.63,7.11,132.38,1.43,94.18,5.18,99.16,5.45,0,2593.11,6.61,0.56,3,10,12,14,3
60,98.82,386.59,22,6324.23,4.95,24741.48,5.32,0,0,167.28,7.00,130.53,1.36,90.72,4.30,97.49,4.62,0,1828.48,7.61,0.63,4,10,13,14,2
61,99.80,386.40,23,6387.48,14.36,24729.78,15.53,0,0,60.86,5.50,132.79,1.51,122.65,12.66,132.63,13.69,0,2524.23,3.26,0.24,3,10,14,14,1
62,109.49,71.86,2,7007.67,13.76,4599.31,16.47,0,0,61.10,4.87,127.71,1.57,133.89,12.26,159.96,14.71,0,2142.16,2.91,0.27,4,11,1,1,1
63,167.02,11.71,2,10689.29,8.88,749.43,10.04,0,0,88.74,5.40,130.69,1.38,112.35,7.80,127.07,8.82,0,2580.95,4.29,0.42,3,12,1,35,35
64,167.23,11.14,3,10702.85,17.46,712.77,14.30,0,0,53.20,5.46,132.20,1.38,131.00,15.32,107.28,12.55,0,2491.80,2.85,0.21,3,12,2,35,34
65,166.69,10.83,5,10667.99,13.65,692.97,11.88,0,0,66.63,4.86,131.26,1.43,144.43,12.07,125.75,10.51,0,1982.88,2.72,0.32,3,12,3,35,33
66,167.13,11.49,6,10696.60,13.13,735.61,19.00,0,0,60.02,6.10,136.38,1.56,99.43,11.53,143.87,16.68,0,2661.59,3.03,0.21,3,12,4,35,32
67,168.08,11.01,7,10757.12,14.81,704.64,9.60,0,0,69.46,5.12,130.93,1.37,154.93,13.07,100.51,8.45,0,1971.96,3.68,0.33,3,12,5,35,31
68,166.82,10.71,8,10676.70,10.22,685.12,9.39,0,0,85.07,5.42,130.95,1.37,123.60,8.97,113.64,8.25,0,2247.96,4.84,0.40,3,12,6,35,30
69,167.30,10.90,9,10707.08,12.80,697.44,13.15,0,0,69.99,5.06,131.58,1.53,136.81,11.35,140.52,11.67,0,2325.05,3.55,0.32,3,12,7,35,29
70,167.20,11.34,11,10700.54,12.90,725.63,10.18,0,0,75.84,4.58,128.91,1.48,164.87,11.58,130.63,9.07,0,2660.12,3.99,0.39,3,12,8,35,28
71,166.70,11.49,13,10668.60,19.08,735.58,15.64,0,0,53.40,5.00,133.71,1.57,157.70,16.98,129.47,13.91,0,2752.45,2.41,0.21,3,12,9,35,27
72,166.82,10.41,14,10676.69,12.70,666.10,12.79,0,0,65.07,4.18,127.46,1.43,153.50,11.38,154.56,11.45,0,1834.95,2.48,0.34,3,12,10,35,26
73,166.91,10.70,15,10682.08,10.34,685.11,12.61,0,0,83.54,6.68,134.64,1.55,99.40,9.04,121.21,11.03,0,2168.39,3.66,0.31,4,12,11,35,25
74,167.31,11.46,18,10707.52,10.86,733.69,8.21,0,0,93.85,5.06,130.23,1.49,155.40,9.62,117.67,7.27,0,2240.59,3.43,0.46,4,12,12,35,24
75,167.65,10.99,19,10729.91,15.36,703.42,10.64,0,0,70.61,6.06,131.09,1.47,137.65,13.45,95.32,9.32,0,1992.64,3.08,0.28,4,12,13,35,23
76,167.36,11.11,20,10710.73,10.73,711.13,9.49,0,0,77.35,5.71,130.40,1.26,111.70,9.36,98.81,8.28,0,2372.84,4.35,0.35,4,12,14,35,22
77,167.32,11.39,21,10708.50,12.85,729.26,9.29,0,0,71.33,4.40,128.90,1.31,160.77,11.41,116.43,8.23,0,2504.95,4.01,0.39,3,12,15,35,21
78,167.57,10.45,22,10724.37,10.84,669.06,8.39,0,0,89.33,5.93,132.12,1.38,125.63,9.48,97.27,7.34,0,2909.30,4.78,0.39,4,12,16,35,20
79,167.16,10.93,23,10698.10,12.16,699.45,10.78,0,0,70.58,4.81,131.93,1.35,137.76,10.73,122.19,9.52,0,2592.45,3.74,0.35,3,12,17,35,19
80,167.49,10.32,24,10719.36,10.64,660.45,12.41,0,0,79.75,5.16,127.57,1.55,127.14,9.43,148.24,11.00,0,1343.80,3.88,0.37,3,12,18,35,18
81,166.81,11.08,25,10676.00,14.56,708.89,13.93,0,0,67.69,5.69,133.88,1.61,133.75,12.86,127.93,12.30,0,2544.04,3.38,0.26,3,12,19,35,17
82,167.21,10.70,26,10701.39,15.09,684.90,10.58,0,0,67.75,6.04,134.62,1.38,130.05,13.19,91.20,9.25,0,1383.50,3.17,0.27,4,12,20,35,16
83,167.44,11.57,27,10715.90,10.89,740.63,12.77,0,0,82.69,5.68,129.40,1.63,122.40,9.63,143.51,11.29,0,2133.57,3.80,0.35,3,12,21,35,15
84,167.67,10.67,28,10730.95,11.14,682.66,9.53,0,0,80.32,6.03,131.14,1.33,113.93,9.72,97.48,8.32,0,2770.21,5.89,0.34,4,12,22,35,14
85,167.05,10.89,29,10691.25,11.42,696.75,12.83,0,0,80.55,5.71,133.77,1.63,124.40,10.09,139.79,11.34,0,2849.70,4.15,0.33,3,12,23,35,13
86,167.37,11.35,30,10711.39,11.84,726.60,14.05,0,0,73.93,5.60,130.04,1.59,120.58,10.46,143.07,12.41,0,1913.77,3.39,0.31,3,12,24,35,12
87,167.14,11.30,31,10697.08,11.17,723.24,8.97,0,0,89.20,5.98,130.26,1.46,128.23,9.79,103.02,7.87,0,2099.48,5.07,0.38,3,12,25,35,11
88,167.70,10.77,32,10732.85,11.13,689.36,8.25,0,0,86.67,5.30,128.96,1.37,140.29,9.78,104.00,7.25,0,1864.91,4.31,0.42,4,12,26,35,10
89,167.86,11.18,34,10743.26,12.56,715.57,14.56,0,0,64.80,4.79,132.75,1.48,131.34,11.16,152.16,12.94,0,2576.84,3.40,0.30,3,12,27,35,9
90,167.01,10.92,35,10688.73,9.66,698.68,10.46,0,0,107.03,7.68,134.97,1.74,103.44,8.44,112.01,9.14,0,2909.18,5.23,0.36,4,12,28,35,8
91,167.39,10.85,36,10712.92,11.72,694.63,10.15,0,0,80.68,5.84,131.47,1.44,124.63,10.27,107.99,8.90,0,1981.46,4.25,0.35,3,12,29,35,7
92,166.91,10.59,37,10681.96,8.59,677.74,6.94,0,0,100.76,5.62,130.93,1.26,118.45,7.50,95.73,6.06,0,2643.12,5.36,0.48,3,12,30,35,6
93,166.94,11.21,38,10683.93,9.09,717.17,11.66,0,0,88.75,6.54,135.01,1.48,94.85,7.94,121.70,10.19,0,2076.71,4.83,0.35,3,12,31,35,5
94,167.21,11.12,39,10701.71,13.46,711.46,11.83,0,0,70.25,6.91,134.68,1.42,105.02,11.72,92.27,10.30,0,1757.43,3.79,0.24,5,12,32,35,4
95,167.57,11.33,40,10724.79,9.07,725.01,11.10,0,0,87.00,6.62,136.53,1.40,91.59,7.91,112.01,9.67,0,2530.21,4.65,0.34,4,12,33,35,3
96,167.36,10.85,41,10711.25,9.81,694.38,11.94,0,0,78.58,6.07,131.47,1.37,97.55,8.57,118.77,10.43,0,1345.21,2.99,0.33,4,12,34,35,2
97,167.45,10.83,42,10717.01,9.29,692.91,10.72,0,0,92.37,6.28,132.70,1.50,105.17,8.14,121.33,9.39,0,2816.16,4.94,0.38,3,12,35,35,1
98,201.75,248.10,2,12911.89,16.40,15878.19,10.57,0,0,67.66,5.46,131.75,1.47,156.64,14.48,101.09,9.32,0,2958.32,3.54,0.29,3,13,1,2,2
99,202.64,248.82,4,12968.93,12.74,15924.42,13.73,0,0,64.59,5.91,129.85,1.39,107.10,11.15,115.45,12.02,0,1041.91,2.28,0.25,4,13,2,2,1
100,253.23,191.36,2,16206.95,6.97,12246.82,6.44,0,0,154.26,7.04,128.16,1.68,117.45,6.10,108.45,5.64,0,3035.00,7.24,0.57,3,14,1,14,14
101,253.13,191.02,5,16200.33,6.15,12225.58,7.15,0,0,133.76,6.29,130.01,1.44,100.66,5.38,116.99,6.25,0,2554.52,6.35,0.56,3,14,2,14,13
102,253.31,191.12,6,16211.97,4.93,12231.56,6.33,0,0,179.24,7.50,129.58,1.61,90.40,4.30,116.08,5.51,0,4210.29,11.01,0.63,3,14,3,14,12
103,253.32,191.06,7,16212.28,7.56,12228.06,8.48,0,0,117.79,6.72,131.22,1.52,101.96,6.61,114.28,7.41,0,2132.96,5.63,0.47,3,14,4,14,11
104,253.13,191.12,8,16200.37,4.98,12231.47,4.47,0,0,189.28,6.53,125.49,1.44,110.93,4.35,99.59,3.90,0,3444.91,10.14,0.71,4,14,5,14,10
105,253.03,191.08,9,16193.65,5.80,12228.80,4.78,0,0,177.01,7.06,131.86,1.49,111.69,5.05,92.02,4.16,0,3418.89,11.30,0.65,3,14,6,14,9
106,253.12,191.25,11,16199.95,5.73,12239.87,7.87,0,0,148.89,7.14,128.31,1.61,91.86,5.00,126.26,6.88,0,2954.48,8.87,0.56,4,14,7,14,8
107,253.39,191.42,12,16216.75,5.13,12250.59,6.15,0,0,172.85,7.52,132.31,1.55,90.67,4.47,108.52,5.35,0,3300.79,8.71,0.61,3,14,8,14,7
108,252.69,191.43,15,16172.22,5.56,12251.25,5.01,0,0,175.63,7.24,129.08,1.48,103.57,4.84,93.39,4.36,0,2633.43,6.53,0.64,4,14,9,14,6
109,253.26,191.35,16,16208.52,5.41,12246.52,5.90,0,0,152.20,6.09,131.42,1.39,103.86,4.73,113.29,5.16,0,3028.25,7.32,0.64,3,14,10,14,5
110,253.04,190.97,18,16194.57,5.10,12222.26,5.21,0,0,180.61,6.74,128.30,1.50,105.09,4.45,107.32,4.55,0,2379.30,8.74,0.67,3,14,11,14,4
111,252.99,191.10,20,16191.35,4.82,12230.12,5.95,0,0,167.18,6.45,127.20,1.44,96.07,4.21,118.52,5.19,0,3873.62,8.14,0.66,3,14,12,14,3
112,253.39,191.21,21,16216.69,4.95,12237.47,5.17,0,0,185.47,7.49,129.29,1.49,94.16,4.31,98.29,4.50,0,2295.71,8.59,0.65,4,14,13,14,2
113,253.20,190.96,23,16204.53,5.09,12221.48,4.70,0,0,167.28,6.05,129.40,1.32,108.23,4.44,99.83,4.10,0,2764.23,7.98,0.69,3,14,14,14,1
114,269.64,455.52,2,17257.24,8.93,29153.09,7.73,0,0,118.67,7.20,135.52,1.59,113.11,7.80,97.88,6.75,0,758.96,4.07,0.44,3,15,1,4,4
115,271.20,450.86,4,17356.69,5.96,28855.14,5.51,0,0,169.89,7.89,131.15,1.55,98.61,5.19,91.18,4.80,0,2143.00,7.28,0.59,4,15,2,4,3
116,268.90,451.89,5,17209.64,10.84,28920.97,10.44,0,0,89.76,6.44,137.86,1.56,116.20,9.50,111.92,9.15,0,3175.20,4.26,0.35,3,15,3,4,2
117,274.56,450.28,7,17572.05,11.27,28817.98,10.04,0,0,88.56,6.42,130.66,1.53,119.58,9.86,106.56,8.79,0,1932.95,4.42,0.35,3,15,4,4,1
118,288.76,334.32,2,18480.82,4.85,21396.67,4.66,0,0,177.87,5.93,124.90,1.37,112.01,4.24,107.66,4.08,0,3528.64,8.72,0.72,3,16,1,6,6
119,288.54,334.18,3,18466.66,3.36,21387.52,3.54,0,0,223.45,5.95,125.19,1.23,96.87,2.93,102.05,3.08,0,3459.93,10.31,0.81,3,16,2,6,5
120,288.51,334.04,5,18464.60,4.62,21378.34,4.49,0,0,207.26,7.25,127.01,1.51,101.28,4.02,98.61,3.91,0,3974.38,12.45,0.71,3,16,3,6,4
121,288.53,334.11,6,18465.91,4.37,21383.09,4.31,0,0,196.62,6.30,128.13,1.37,104.81,3.81,103.38,3.76,0,3277.54,8.74,0.74,3,16,4,6,3
122,288.71,334.23,7,18477.28,4.22,21390.83,4.41,0,0,192.86,6.54,129.06,1.33,95.44,3.67,99.68,3.83,0,2068.93,9.23,0.72,4,16,5,6,2
123,288.84,334.17,8,18485.73,4.54,21387.02,4.61,0,0,206.69,7.07,125.63,1.52,101.99,3.96,103.49,4.02,0,2281.07,9.18,0.71,3,16,6,6,1
124,291.33,190.82,2,18644.91,13.78,12212.27,13.60,0,0,49.73,5.40,123.16,1.08,97.34,11.99,96.08,11.84,0,822.02,2.46,0.21,4,17,1,1,1
125,312.26,462.30,2,19984.33,6.76,29587.40,5.76,0,0,138.13,5.62,126.28,1.41,127.88,5.93,108.84,5.05,0,1807.98,5.76,0.62,3,18,1,2,2
126,314.60,463.39,3,20134.27,13.74,29656.84,13.21,0,0,81.13,7.86,135.12,1.76,109.00,12.00,104.82,11.54,0,1216.39,2.80,0.23,3,18,2,2,1
127,324.39,220.88,2,20760.82,21.86,14136.59,20.59,0,0,38.50,4.81,130.64,1.37,135.02,19.30,127.15,18.18,0,973.71,1.65,0.14,3,19,1,3,3
128,318.43,218.86,3,20379.21,14.60,14006.86,11.43,0,0,72.09,5.27,131.58,1.57,154.16,12.94,120.78,10.13,0,2203.95,4.06,0.31,3,19,2,3,2
129,316.98,216.45,4,20286.56,10.92,13852.81,13.89,0,0,77.54,5.25,131.49,1.61,124.75,9.69,158.49,12.35,0,2684.68,3.62,0.34,4,19,3,3,1
130,415.61,112.28,2,26599.04,9.88,7185.99,11.25,0,0,89.03,6.53,135.49,1.52,103.69,8.65,117.97,9.84,0,2754.88,4.32,0.35,3,20,1,2,2
131,413.19,122.36,5,26444.46,19.96,7830.92,21.39,0,0,44.58,5.89,144.45,1.52,116.37,17.54,124.71,18.79,0,1465.38,1.56,0.13,3,20,2,2,1
132,433.11,28.98,2,27718.79,7.63,1854.72,7.58,0,0,110.02,5.15,128.86,1.39,125.72,6.72,124.81,6.67,0,2738.18,5.45,0.54,3,21,1,2,2
133,434.75,26.81,3,27824.00,13.47,1715.85,13.79,0,0,56.28,4.80,127.88,1.27,121.59,11.85,124.48,12.13,0,1763.34,2.83,0.27,3,21,2,2,1
134,57.90,460.32,3,3705.42,12.80,29460.50,10.22,0,0,79.20,5.11,135.00,1.52,153.23,11.37,122.52,9.06,0,2879.70,3.55,0.37,3,22,1,7,7
135,59.04,457.81,4,3778.60,7.66,29300.01,9.99,0,0,108.76,5.65,130.42,1.59,113.85,6.77,148.34,8.82,0,3290.45,4.71,0.49,3,22,2,7,6
136,60.55,451.81,5,3875.18,11.50,28915.71,11.28,0,0,89.01,5.37,130.63,1.73,147.62,10.24,144.81,10.04,0,2871.38,4.11,0.39,4,22,3,7,5
137,61.00,451.06,6,3904.24,13.00,28867.55,10.58,0,0,72.31,5.00,127.95,1.41,144.93,11.48,118.05,9.35,0,1390.00,3.83,0.35,3,22,4,7,4
138,60.63,455.39,7,3880.17,11.66,29145.01,15.23,0,0,65.96,6.59,135.89,1.41,89.68,10.17,117.12,13.28,0,1873.04,3.17,0.23,5,22,5,7,3
139,60.34,455.96,8,3861.85,22.02,29181.31,13.99,0,0,55.62,5.73,136.39,1.61,163.99,19.78,104.92,12.35,0,2471.77,2.75,0.20,5,22,6,7,2
140,59.78,455.88,9,3825.65,12.49,29176.10,14.17,0,0,65.02,5.11,133.60,1.44,122.69,11.03,139.19,12.51,0,2792.61,3.45,0.29,3,22,7,7,1
141,197.54,38.41,3,12642.57,19.79,2458.01,14.29,0,0,51.61,6.21,132.26,1.40,126.43,17.29,91.30,12.48,0,217.68,2.28,0.17,5,23,1,3,3
142,198.40,35.67,4,12697.51,7.52,2282.72,8.30,0,0,104.33,4.78,125.91,1.38,126.72,6.65,139.82,7.33,0,2886.52,5.55,0.54,3,23,2,3,2
143,203.73,33.67,5,13038.66,13.08,2154.91,10.05,0,0,88.40,7.27,133.24,1.64,122.19,11.42,93.85,8.78,0,2240.84,4.63,0.30,3,23,3,3,1
144,280.73,215.79,3,17966.40,7.99,13810.38,9.60,0,0,94.78,4.94,130.07,1.38,118.20,7.05,141.98,8.47,0,2497.62,4.74,0.48,3,24,1,1,1
145,311.66,431.50,3,19946.34,16.05,27615.69,10.87,0,0,70.98,5.78,132.88,1.55,151.99,14.14,102.99,9.57,0,2067.30,3.32,0.28,4,25,1,2,2
146,308.67,435.64,4,19754.84,9.40,27881.28,8.52,0,0,93.56,6.33,133.08,1.34,106.60,8.19,96.67,7.43,0,2005.75,4.18,0.39,3,25,2,2,1
147,310.06,466.88,3,19843.76,18.03,29880.04,20.71,0,0,58.92,8.15,133.98,1.84,100.15,15.75,115.03,18.09,0,1924.73,2.40,0.14,5,26,1,1,1
148,79.45,111.21,4,5085.05,7.55,7117.59,8.84,0,0,118.70,5.79,127.20,1.62,119.46,6.67,139.75,7.80,0,2185.80,6.13,0.52,3,27,1,1,1
149,121.61,27.73,4,7782.91,25.11,1774.59,20.13,0,0,36.75,4.50,133.04,1.40,158.48,22.34,127.16,17.88,0,2479.71,2.16,0.14,5,28,1,1,1
150,212.29,361.99,4,13586.62,9.65,23167.36,10.56,0,0,86.26,6.26,133.70,1.41,102.17,8.43,111.85,9.22,0,1397.23,4.11,0.36,4,29,1,4,4
151,211.30,361.58,5,13523.16,11.16,23141.22,11.99,0,0,77.96,7.07,136.84,1.44,94.40,9.71,101.46,10.44,0,1201.84,3.20,0.27,4,29,2,4,3
152,209.18,350.58,7,13387.68,9.02,22436.89,12.02,0,0,92.74,6.09,135.58,1.59,105.84,7.93,141.06,10.57,0,2857.79,3.78,0.38,3,29,3,4,2
